Number of Students,Academic Year,Dom Ireland GB,Isced Discipline,Institute New Combined,County
24,2018/2019,(Other) EU,(0310) Social and behavioural sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
49,2018/2019,(Other) EU,(0310) Social and behavioural sciences not further defined or elsewhere classified,Trinity College Dublin,N/A
6,2018/2019,(Other) EU,(0310) Social and behavioural sciences not further defined or elsewhere classified,University College Cork,N/A
3,2018/2019,(Other) EU,(0310) Social and behavioural sciences not further defined or elsewhere classified,University College Dublin,N/A
2,2018/2019,(Other) EU,(0311) Economics,Maynooth University,N/A
4,2018/2019,(Other) EU,(0311) Economics,"National University of Ireland, Galway",N/A
14,2018/2019,(Other) EU,(0311) Economics,Trinity College Dublin,N/A
19,2018/2019,(Other) EU,(0311) Economics,University College Dublin,N/A
2,2018/2019,(Other) EU,(0311) Economics,University of Limerick,N/A
51,2018/2019,(Other) EU,(0312) Political sciences and civics,Dublin City University,N/A
43,2018/2019,(Other) EU,(0312) Political sciences and civics,Trinity College Dublin,N/A
9,2018/2019,(Other) EU,(0312) Political sciences and civics,University College Cork,N/A
36,2018/2019,(Other) EU,(0312) Political sciences and civics,University College Dublin,N/A
4,2018/2019,(Other) EU,(0312) Political sciences and civics,University of Limerick,N/A
1,2018/2019,(Other) EU,(0313) Psychology,Dublin City University,N/A
3,2018/2019,(Other) EU,(0313) Psychology,Maynooth University,N/A
4,2018/2019,(Other) EU,(0313) Psychology,"National University of Ireland, Galway",N/A
11,2018/2019,(Other) EU,(0313) Psychology,Trinity College Dublin,N/A
3,2018/2019,(Other) EU,(0313) Psychology,University College Cork,N/A
9,2018/2019,(Other) EU,(0313) Psychology,University College Dublin,N/A
13,2018/2019,(Other) EU,(0313) Psychology,University of Limerick,N/A
2,2018/2019,(Other) EU,(0314) Sociology and cultural studies,Dublin City University,N/A
10,2018/2019,(Other) EU,(0314) Sociology and cultural studies,Maynooth University,N/A
1,2018/2019,(Other) EU,(0314) Sociology and cultural studies,"National University of Ireland, Galway",N/A
14,2018/2019,(Other) EU,(0314) Sociology and cultural studies,Trinity College Dublin,N/A
5,2018/2019,(Other) EU,(0314) Sociology and cultural studies,University College Cork,N/A
43,2018/2019,(Other) EU,(0314) Sociology and cultural studies,University College Dublin,N/A
4,2018/2019,(Other) EU,(0320) Journalism and information not further defined or elsewhere classified,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0321) Journalism and reporting,Dublin City University,N/A
1,2018/2019,(Other) EU,(0321) Journalism and reporting,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0321) Journalism and reporting,University of Limerick,N/A
5,2018/2019,(Other) EU,"(0322) Library, information and archival studies",University College Dublin,N/A
1,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,Cork IT,N/A
167,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,Dublin City University,N/A
2,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,Maynooth University,N/A
26,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
5,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,Technological University Dublin,N/A
87,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,Trinity College Dublin,N/A
25,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,University College Cork,N/A
70,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,University College Dublin,N/A
3,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,University of Limerick,N/A
1,2018/2019,(Other) EU,(0411) Accounting and taxation,Cork IT,N/A
1,2018/2019,(Other) EU,(0411) Accounting and taxation,Dublin City University,N/A
1,2018/2019,(Other) EU,(0411) Accounting and taxation,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0411) Accounting and taxation,Trinity College Dublin,N/A
1,2018/2019,(Other) EU,(0411) Accounting and taxation,University College Dublin,N/A
5,2018/2019,(Other) EU,(0411) Accounting and taxation,University of Limerick,N/A
1,2018/2019,(Other) EU,"(0412) Finance, banking and insurance",Technological University Dublin,N/A
20,2018/2019,(Other) EU,"(0412) Finance, banking and insurance",Trinity College Dublin,N/A
1,2018/2019,(Other) EU,"(0412) Finance, banking and insurance",University College Cork,N/A
8,2018/2019,(Other) EU,"(0412) Finance, banking and insurance",University College Dublin,N/A
3,2018/2019,(Other) EU,"(0412) Finance, banking and insurance",University of Limerick,N/A
18,2018/2019,(Other) EU,(0413) Management and administration,Dublin City University,N/A
4,2018/2019,(Other) EU,(0413) Management and administration,Maynooth University,N/A
8,2018/2019,(Other) EU,(0413) Management and administration,"National University of Ireland, Galway",N/A
5,2018/2019,(Other) EU,(0413) Management and administration,Technological University Dublin,N/A
39,2018/2019,(Other) EU,(0413) Management and administration,Trinity College Dublin,N/A
1,2018/2019,(Other) EU,(0413) Management and administration,University College Cork,N/A
53,2018/2019,(Other) EU,(0413) Management and administration,University College Dublin,N/A
4,2018/2019,(Other) EU,(0413) Management and administration,University of Limerick,N/A
3,2018/2019,(Other) EU,(0413) Management and administration,Waterford IT,N/A
3,2018/2019,(Other) EU,(0414) Marketing and advertising,Cork IT,N/A
1,2018/2019,(Other) EU,(0414) Marketing and advertising,Dundalk IT,N/A
1,2018/2019,(Other) EU,(0414) Marketing and advertising,Galway-Mayo IT,N/A
1,2018/2019,(Other) EU,(0414) Marketing and advertising,Letterkenny IT,N/A
4,2018/2019,(Other) EU,(0414) Marketing and advertising,"National University of Ireland, Galway",N/A
19,2018/2019,(Other) EU,(0414) Marketing and advertising,Technological University Dublin,N/A
3,2018/2019,(Other) EU,(0414) Marketing and advertising,University College Cork,N/A
10,2018/2019,(Other) EU,(0414) Marketing and advertising,University College Dublin,N/A
3,2018/2019,(Other) EU,(0414) Marketing and advertising,University of Limerick,N/A
3,2018/2019,(Other) EU,(0416) Wholesale and retail sales,Technological University Dublin,N/A
11,2018/2019,(Other) EU,(0421) Law,Dublin City University,N/A
2,2018/2019,(Other) EU,(0421) Law,Letterkenny IT,N/A
62,2018/2019,(Other) EU,(0421) Law,Maynooth University,N/A
15,2018/2019,(Other) EU,(0421) Law,"National University of Ireland, Galway",N/A
54,2018/2019,(Other) EU,(0421) Law,Trinity College Dublin,N/A
3,2018/2019,(Other) EU,(0421) Law,University College Cork,N/A
35,2018/2019,(Other) EU,(0421) Law,University College Dublin,N/A
1,2018/2019,(Other) EU,(0421) Law,University of Limerick,N/A
1,2018/2019,(Other) EU,(0421) Law,Waterford IT,N/A
8,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Dublin City University,N/A
4,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Galway-Mayo IT,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Letterkenny IT,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Maynooth University,N/A
42,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
3,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Technological University Dublin,N/A
17,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Trinity College Dublin,N/A
49,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,University College Cork,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,University College Dublin,N/A
10,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,University of Limerick,N/A
2,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Waterford IT,N/A
1,2018/2019,(Other) EU,(0511) Biology,Dublin City University,N/A
3,2018/2019,(Other) EU,(0511) Biology,Maynooth University,N/A
7,2018/2019,(Other) EU,(0511) Biology,University College Cork,N/A
6,2018/2019,(Other) EU,(0511) Biology,University College Dublin,N/A
1,2018/2019,(Other) EU,(0512) Biochemistry,Dublin City University,N/A
9,2018/2019,(Other) EU,(0512) Biochemistry,Trinity College Dublin,N/A
7,2018/2019,(Other) EU,(0512) Biochemistry,University College Dublin,N/A
6,2018/2019,(Other) EU,(0520) Environment not further defined or elsewhere classified,Trinity College Dublin,N/A
6,2018/2019,(Other) EU,(0520) Environment not further defined or elsewhere classified,University College Dublin,N/A
3,2018/2019,(Other) EU,(0520) Environment not further defined or elsewhere classified,University of Limerick,N/A
1,2018/2019,(Other) EU,(0521) Environmental sciences,Dundalk IT,N/A
1,2018/2019,(Other) EU,(0521) Environmental sciences,IT Sligo,N/A
1,2018/2019,(Other) EU,(0521) Environmental sciences,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0521) Environmental sciences,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0521) Environmental sciences,Trinity College Dublin,N/A
4,2018/2019,(Other) EU,(0521) Environmental sciences,University College Cork,N/A
4,2018/2019,(Other) EU,(0521) Environmental sciences,University College Dublin,N/A
2,2018/2019,(Other) EU,(0522) Natural environments and wildlife,Trinity College Dublin,N/A
3,2018/2019,(Other) EU,(0530) Physical sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
25,2018/2019,(Other) EU,(0530) Physical sciences not further defined or elsewhere classified,Trinity College Dublin,N/A
5,2018/2019,(Other) EU,(0531) Chemistry,Dublin City University,N/A
3,2018/2019,(Other) EU,(0531) Chemistry,Maynooth University,N/A
2,2018/2019,(Other) EU,(0531) Chemistry,Technological University Dublin,N/A
27,2018/2019,(Other) EU,(0531) Chemistry,Trinity College Dublin,N/A
2,2018/2019,(Other) EU,(0531) Chemistry,University College Cork,N/A
9,2018/2019,(Other) EU,(0531) Chemistry,University College Dublin,N/A
2,2018/2019,(Other) EU,(0532) Earth sciences,Maynooth University,N/A
2,2018/2019,(Other) EU,(0532) Earth sciences,"National University of Ireland, Galway",N/A
13,2018/2019,(Other) EU,(0532) Earth sciences,Trinity College Dublin,N/A
4,2018/2019,(Other) EU,(0532) Earth sciences,University College Dublin,N/A
4,2018/2019,(Other) EU,(0533) Physics,Cork IT,N/A
3,2018/2019,(Other) EU,(0533) Physics,Dublin City University,N/A
2,2018/2019,(Other) EU,(0533) Physics,Maynooth University,N/A
6,2018/2019,(Other) EU,(0533) Physics,Technological University Dublin,N/A
20,2018/2019,(Other) EU,(0533) Physics,Trinity College Dublin,N/A
1,2018/2019,(Other) EU,(0533) Physics,University College Cork,N/A
9,2018/2019,(Other) EU,(0533) Physics,University College Dublin,N/A
1,2018/2019,(Other) EU,(0533) Physics,University of Limerick,N/A
3,2018/2019,(Other) EU,(0540) Mathematics and statistics not further defined or elsewhere classified,University of Limerick,N/A
1,2018/2019,(Other) EU,(0541) Mathematics,Dublin City University,N/A
1,2018/2019,(Other) EU,(0541) Mathematics,"Dun Laoghaire Institute of Art, Design and Technology",N/A
6,2018/2019,(Other) EU,(0541) Mathematics,Maynooth University,N/A
1,2018/2019,(Other) EU,(0541) Mathematics,"National University of Ireland, Galway",N/A
10,2018/2019,(Other) EU,(0541) Mathematics,Trinity College Dublin,N/A
3,2018/2019,(Other) EU,(0541) Mathematics,University College Dublin,N/A
1,2018/2019,(Other) EU,(0541) Mathematics,University of Limerick,N/A
3,2018/2019,(Other) EU,(0542) Statistics,Trinity College Dublin,N/A
3,2018/2019,(Other) EU,(0542) Statistics,University College Dublin,N/A
1,2018/2019,(Other) EU,"(0588) Interdisciplinary programmes and qualifications involving natural sciences, mathematics and statistics",Maynooth University,N/A
22,2018/2019,(Other) EU,"(0588) Interdisciplinary programmes and qualifications involving natural sciences, mathematics and statistics",University College Dublin,N/A
3,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Cork IT,N/A
11,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Dublin City University,N/A
2,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Maynooth University,N/A
3,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
5,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Technological University Dublin,N/A
22,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Trinity College Dublin,N/A
